PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
N81035,10855,14316,5,327,90469,4,278529,45,0.53,23,0.98,44,14316,5,260,80794,7,407248,45,30,0.68,45,0.99
N81036,6141,15491,5,353,68236,5,234168,48,0.51,26,0.97,46,15491,5,232,63137,7,359678,48,35,0.75,47,0.99
N81037,8008,9529,3,352,94587,4,240703,44,0.48,21,0.98,43,9529,3,316,82263,7,365497,44,25,0.55,43,0.99
N81038,5784,14485,5,3307,8546,0.74,8613,30,0.03,1,0.07,4,14485,5,550,11877,0.94,18579,30,9,0.22,21,0.51
N81039,10339,20658,7,4515,26218,1.00,26307,39,0.00,0.08,0.01,0.33,20658,7,595,36785,1,45532,39,10,0.24,35,0.89
N81040,5344,10996,4,856,19216,1,24458,39,0.14,8,0.53,22,10996,4,365,11405,4,56552,39,20,0.49,37,0.95
N81041,8357,15616,5,325,58099,4,186871,38,0.53,20,0.98,37,15616,5,222,64734,8,363468,38,28,0.75,38,1.00
N81042,7199,23892,8,1248,206277,1,227411,44,0.24,15,0.49,25,23892,8,650,46981,3,101369,44,21,0.40,38,0.81
N81043,6713,24897,8,1247,19162,2,40896,56,0.17,7,0.35,16,24897,8,491,23337,3,82646,56,16,0.32,50,0.89
N81044,10048,17589,6,422,30376,4,98070,46,0.48,19,0.91,41,17589,6,312,29548,5,133093,46,23,0.57,44,0.97
N81045,14103,12283,4,326,110490,4,298545,47,0.53,24,0.98,46,12283,4,266,95999,6,408539,47,30,0.66,47,0.99
N81046,8741,21527,7,733,32754,4,88154,36,0.39,16,0.81,29,21527,7,320,26998,7,149855,36,21,0.55,35,0.98
N81047,13354,20167,7,543,60376,3,130903,33,0.37,14,0.75,28,20167,7,449,62335,4,185494,33,17,0.45,30,0.79
N81048,14121,11241,4,309,78267,5,270134,36,0.63,21,0.96,34,11241,4,204,58939,9,414203,36,28,0.85,34,0.98
N81049,5740,21876,7,2148,80518,1,93446,43,0.04,2,0.16,8,21876,7,491,22672,2,53917,43,22,0.44,40,0.86
N81050,7498,17559,6,463,181121,3,395182,40,0.38,15,0.89,35,17559,6,305,87200,6,458718,40,22,0.58,39,0.98
N81051,7528,19820,6,2016,512800,1,601166,42,0.06,3,0.22,10,19820,6,491,81862,3,225041,42,19,0.45,37,0.88
N81052,10134,20492,7,698,102671,1,132277,44,0.23,12,0.72,35,20492,7,399,47277,3,125792,44,20,0.41,43,0.95
N81053,15289,13172,5,348,43226,4,155058,36,0.56,20,0.94,34,13172,5,265,40887,6,198126,36,24,0.67,35,0.97
N81054,9122,8174,3,630,172915,2,282789,33,0.22,7,0.80,25,8174,3,366,104655,5,346218,33,14,0.49,30,0.95
N81055,7424,19872,7,824,504986,3,1019419,44,0.27,14,0.66,33,19872,7,438,188877,5,793983,44,22,0.47,42,0.90
N81056,10308,11453,4,333,91981,5,290910,51,0.50,23,0.98,50,11453,4,217,59362,8,398227,51,38,0.77,50,0.99
N81057,13281,11385,4,705,90328,2,197212,44,0.18,8,0.71,32,11385,4,376,67205,5,310078,44,20,0.49,42,0.95
N81059,6921,21940,7,1980,563670,1,604355,45,0.05,2,0.13,5,21940,7,418,41460,3,139467,45,21,0.50,38,0.89
N81060,8742,22170,7,590,188936,3,409644,52,0.28,17,0.83,44,22170,7,334,75237,4,406630,52,26,0.48,51,0.98
N81061,7149,16051,5,838,613009,3,1355513,45,0.31,16,0.66,34,16051,5,379,267973,5,1119363,45,25,0.52,43,0.92
N81062,15106,19707,6,867,96295,2,139571,42,0.20,9,0.60,29,19707,6,348,47136,4,173480,42,20,0.49,41,0.97
N81063,11574,9880,3,367,137982,4,360456,44,0.45,20,0.97,42,9880,3,276,78311,7,441222,44,26,0.64,43,0.99
N81064,7709,8955,3,323,94556,4,300165,52,0.52,25,0.99,52,8955,3,261,79084,7,413342,52,33,0.66,52,0.99
N81065,6121,10935,4,473,24001,3,79275,42,0.28,12,0.95,40,10935,4,241,113848,6,374675,42,27,0.68,42,1.00
N81066,10599,10074,4,729,87342,2,184844,45,0.16,7,0.69,32,10074,4,373,62550,5,294623,45,20,0.48,43,0.95
N81067,8300,19672,6,1053,2181342,1,2336682,37,0.08,4,0.35,16,19672,6,366,435529,3,1098044,37,17,0.45,35,0.88
N81068,13539,12399,4,333,47649,4,160809,35,0.58,20,0.95,33,12399,4,260,45440,6,202547,35,24,0.68,34,0.97
N81069,3766,23925,8,2271,135299,1,136103,26,0.00,0.15,0.10,3,23925,8,602,12179,2,54486,26,9,0.34,20,0.76
N81070,9739,19634,7,789,47238,1,61127,49,0.09,6,0.66,34,19634,7,282,39654,4,181554,49,30,0.60,49,0.99
N81071,4745,23937,8,1977,41945,1,62444,37,0.03,1,0.12,4,23937,8,468,18106,2,64863,37,12,0.36,33,0.90
N81072,6993,9527,3,628,330798,1,387178,28,0.20,5,0.83,21,9527,3,443,187532,3,425244,28,10,0.41,24,0.90
N81073,11309,26771,9,996,387654,1,390043,27,0.07,3,0.42,14,26771,9,363,38530,4,149288,27,13,0.49,26,0.96
N81074,4581,10247,4,820,27182,2,48739,37,0.16,8,0.59,23,10247,4,374,14723,4,68685,37,18,0.46,36,0.96
N81075,17246,25888,8,417,43248,4,128810,35,0.44,15,0.92,32,25888,8,294,45032,6,225362,35,19,0.58,35,0.98
N81077,11716,26745,9,3383,221811,1,221832,37,0.01,0.31,0.06,1,26745,9,919,37136,1,40534,37,7,0.19,28,0.71
N81079,9904,18038,6,664,26645,4,85406,37,0.39,17,0.81,31,18038,6,301,21954,7,148786,37,23,0.59,37,0.98
N81080,5789,15485,5,555,27173,4,80020,52,0.41,30,0.87,47,15485,5,290,23498,7,135622,52,37,0.61,51,0.99
