PRACTICE_CODE,tot_patients_per_PRACTICE_CODE,Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks only - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks only - Average distance to nearest Park or Public Garden (m),Practice_code_weighted_tot_of_Parks only - Average size of nearest Park or Public Garden (m2),"Practice_code_weighted_tot_of_Parks only - Average number of Parks or Public Gardens within 1,000 m radius","Practice_code_weighted_tot_of_Parks only - Average combined size of Parks or Public Gardens within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks only - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 300m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden (percentage),Practice_code_weighted_tot_of_Parks only - Number of built up area postcodes  within 900m of a Park or Public Garden,Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation rank (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Index of Multiple Deprivation decile (country specific),Practice_code_weighted_tot_of_Parks and Playing Fields - Average distance to nearest Park Public Garden or Playing Field (m),Practice_code_weighted_tot_of_Parks and Playing Fields - Average size of nearest Park Public Garden or Playing Field (m2),"Practice_code_weighted_tot_of_Parks and Playing Fields - Average number of  Parks Public Gardens or Playing Fields within 1,000 m radius","Practice_code_weighted_tot_of_Parks and Playing Fields - Average combined size of  Parks Public Gardens or Playing Fields within 1,000 m radius (m2)",Practice_code_weighted_tot_of_Parks and Playing Fields - Number of postcodes within built up area,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 300m of a Park Public Garden or Playing Field (percentage),Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field,Practice_code_weighted_tot_of_Parks and Playing Fields - Number of built up area postcodes  within 900m of a Park Public Garden or Playing Field (percentage)
C82055,14248,26203,9,1768,16995,1,17526,70,0.04,2,0.14,8,26203,9,345,26040,3,64332,70,38,0.54,66,0.96
C82056,13770,24951,8,760,165771,1,289489,36,0.19,7,0.70,23,24951,8,312,67075,3,299370,36,20,0.55,35,0.98
C82058,5058,8621,3,799,65177,2,156889,32,0.13,4,0.64,19,8621,3,308,56652,5,295198,32,16,0.50,32,1.00
C82059,1265,10767,4,372,160546,5,600668,30,0.45,14,0.96,29,10767,4,281,107620,7,661641,30,17,0.57,30,1.00
C82060,3634,10596,4,363,119039,4,305348,25,0.51,12,0.96,24,10596,4,300,105421,5,341791,25,14,0.58,25,0.99
C82061,10825,17963,6,1158,423841,1,437283,33,0.08,3,0.35,11,17963,6,296,42388,5,177009,33,19,0.58,32,0.98
C82062,8679,27026,9,973,26846,1,30934,40,0.15,6,0.62,25,27026,9,476,26358,3,79466,40,18,0.42,36,0.90
C82063,12970,9916,3,375,63307,4,206476,34,0.47,14,0.97,33,9916,3,254,57634,6,289126,34,22,0.67,34,1.00
C82064,11484,20854,7,779,32206,1,32547,35,0.14,5,0.67,23,20854,7,417,22828,3,65158,35,16,0.44,33,0.93
C82065,2785,11155,4,420,196567,4,378430,29,0.38,12,0.94,27,11155,4,336,176753,5,402372,29,14,0.45,29,0.99
C82066,13726,25236,8,1894,97795,1,164205,36,0.02,0.54,0.15,4,25236,8,307,45385,4,230281,36,18,0.54,36,0.99
C82067,8247,26850,9,650,125325,2,190662,32,0.19,6,0.86,27,26850,9,363,75321,4,283383,32,13,0.42,31,0.99
C82068,11195,23413,8,1183,20227,1,25321,56,0.13,9,0.43,28,23413,8,318,30892,4,122727,56,32,0.55,55,0.98
C82070,9045,18335,6,697,42466,1,53213,42,0.17,7,0.71,30,18335,6,384,26395,4,95537,42,17,0.40,41,0.99
C82071,10385,20687,7,576,138174,2,267473,49,0.26,13,0.84,41,20687,7,318,84535,4,327314,49,26,0.51,49,1.00
C82072,8118,17201,6,819,89472,2,150092,57,0.21,13,0.67,40,17201,6,311,51477,4,245547,57,32,0.58,55,0.97
C82073,14431,9876,4,397,280033,4,819354,27,0.42,11,0.95,25,9876,4,277,190984,7,928389,27,15,0.58,26,1.00
C82075,9578,21298,7,796,119170,2,170735,37,0.22,9,0.63,22,21298,7,316,59785,4,237954,37,21,0.56,36,0.98
C82076,4739,23088,8,4378,87202,1,90094,48,0.02,0.88,0.06,3,23088,8,616,26127,2,46741,48,18,0.36,38,0.80
C82077,10627,25544,8,3955,2707481,1,2736140,41,0.03,1,0.10,4,25544,8,496,328392,2,385818,41,20,0.48,36,0.88
C82078,11078,21733,7,1239,190575,2,329833,55,0.21,11,0.62,32,21733,7,415,71990,3,369329,55,25,0.46,51,0.93
C82079,8975,15444,5,1197,48380,1,83334,54,0.07,4,0.30,16,15444,5,345,57843,3,164211,54,29,0.49,54,1.00
C82080,4118,9369,3,376,115741,4,331585,34,0.46,17,0.96,33,9369,3,308,100745,5,361971,34,19,0.54,34,0.99
C82081,2428,20983,7,480,155874,3,303388,31,0.28,9,0.94,29,20983,7,370,121690,4,349094,31,13,0.39,31,0.99
C82082,5743,19058,6,698,135526,2,190978,37,0.28,12,0.69,25,19058,6,287,58602,5,256176,37,23,0.61,36,0.99
C82084,3140,11213,4,566,104185,2,283291,33,0.20,7,0.90,30,11213,4,286,68361,6,393453,33,18,0.55,33,1.00
C82086,8282,7929,3,348,156896,4,436254,29,0.56,17,0.96,28,7929,3,260,89814,5,445676,29,21,0.69,29,0.99
C82088,9799,12935,4,489,125857,3,343489,28,0.30,9,0.92,26,12935,4,328,97863,5,408052,28,14,0.50,28,0.99
C82091,7410,14397,5,657,702450,2,810191,46,0.17,7,0.80,33,14397,5,324,93317,3,675735,46,20,0.48,45,0.99
C82092,2845,10811,4,590,154372,2,333633,31,0.29,10,0.79,25,10811,4,268,105065,7,525934,31,18,0.58,31,1.00
C82093,11123,29172,9,3570,52656,1,55203,45,0.02,2,0.04,3,29172,9,581,25173,1,41556,45,13,0.27,38,0.85
C82094,6748,8006,3,529,331522,2,563010,33,0.25,8,0.90,29,8006,3,424,193251,3,559236,33,11,0.35,31,0.96
C82095,9190,24658,8,710,211928,2,228501,40,0.14,5,0.67,27,24658,8,403,86305,3,174415,40,15,0.39,39,0.97
C82096,6873,19404,6,689,212439,2,328292,67,0.25,17,0.80,55,19404,6,370,89570,4,340857,67,34,0.51,62,0.93
C82097,1276,22869,7,705,180647,2,209607,41,0.16,6,0.69,28,22869,7,395,64062,3,168413,41,16,0.41,40,0.97
C82098,7213,23068,7,988,25901,1,33572,57,0.16,11,0.57,35,23068,7,301,32583,5,146089,57,34,0.58,56,0.98
C82099,3819,11999,4,401,124611,4,312859,28,0.44,12,0.95,26,11999,4,313,102780,5,356001,28,15,0.54,27,0.99
C82100,5458,5388,2,1091,24480,1,59955,30,0.05,1,0.29,8,5388,2,312,41158,5,200742,30,14,0.45,30,1.00
C82102,4258,21586,7,3374,77960,1,82553,55,0.02,0.92,0.07,4,21586,7,1014,18615,2,47127,55,13,0.23,33,0.63
C82103,7033,22862,7,1070,39670,1,41496,49,0.18,8,0.56,28,22862,7,402,27556,3,96542,49,19,0.39,47,0.96
C82105,2431,14132,5,519,135746,3,284801,27,0.31,9,0.88,24,14132,5,369,97378,5,324760,27,12,0.45,27,0.99
C82106,1985,16863,6,782,114753,2,237898,65,0.25,17,0.74,51,16863,6,342,72232,4,320024,65,33,0.51,63,0.97
C82107,5385,9240,3,448,56907,3,331251,32,0.34,12,0.96,31,9240,3,245,57956,6,423714,32,20,0.67,32,1.00
C82108,2813,19388,6,722,102011,2,206943,55,0.24,13,0.75,41,19388,6,299,61141,4,281959,55,31,0.55,55,1.00
C82109,3645,23468,8,4770,510181,1,510190,68,0.00,0.05,0.01,0.64,23468,8,796,30084,1,41630,68,26,0.39,43,0.64
C82111,15644,22012,7,899,52938,1,60081,37,0.14,7,0.42,18,22012,7,392,22959,3,77585,37,17,0.42,37,1.00
C82112,4338,27968,9,514,65183,1,93417,27,0.27,7,0.92,24,27968,9,293,58987,3,246810,27,15,0.57,27,1.00
C82114,1908,9880,4,388,168147,5,520064,30,0.46,15,0.94,28,9880,4,287,103956,6,555928,30,18,0.57,30,0.99
C82116,3333,8960,3,364,145634,4,371979,30,0.46,15,0.96,29,8960,3,307,129632,5,399126,30,17,0.52,30,1.00
C82119,2438,16001,5,817,128528,3,464325,42,0.29,9,0.70,22,16001,5,310,85340,6,532211,42,21,0.53,41,0.99
C82120,3397,19871,7,1789,64155,1,75335,54,0.04,3,0.16,9,19871,7,323,44317,3,179771,54,29,0.53,53,0.98
C82121,14049,17361,6,1082,247883,1,250754,33,0.14,5,0.42,15,17361,6,262,26640,5,121503,33,22,0.69,32,0.98
C82122,4625,20160,7,447,162581,3,312389,31,0.29,9,0.96,30,20160,7,363,127476,5,378015,31,13,0.39,31,1.00
C82123,3284,28402,9,4811,8284,1,8749,47,0.00,0.12,0.03,1,28402,9,442,19563,2,52534,47,23,0.49,43,0.91
C82124,18117,16762,6,376,141090,4,327197,45,0.43,23,0.98,45,16762,6,318,118258,5,382573,45,26,0.51,45,1.00
C82600,5198,21773,7,698,10297,2,12074,38,0.21,8,0.79,29,21773,7,351,23180,3,67337,38,19,0.51,36,0.96
C82610,5107,4317,2,672,498340,1,592762,29,0.13,4,0.77,22,4317,2,433,163583,3,527950,29,10,0.34,28,0.96
C82611,5598,25706,8,1896,144284,1,151550,63,0.06,3,0.37,22,25706,8,465,31548,3,98863,63,29,0.45,56,0.89
C82614,3858,20979,7,377,162023,4,354155,31,0.40,11,0.98,30,20979,7,324,132149,6,412180,31,14,0.46,31,1.00
C82620,1802,11696,4,368,120854,5,475392,33,0.50,18,0.96,32,11696,4,269,82650,7,545863,33,21,0.62,33,0.99
C82623,3371,13418,5,433,731934,2,1015556,31,0.41,11,0.90,26,13418,5,338,475086,4,1001455,31,16,0.55,31,1.00
C82624,6875,3823,2,418,171162,2,371174,33,0.36,11,0.97,31,3823,2,367,121000,3,391554,33,14,0.41,32,0.99
C82626,2167,7421,3,1099,36216,1,80688,33,0.06,2,0.29,9,7421,3,310,44868,4,212595,33,17,0.48,33,1.00
C82627,4624,17245,6,474,184276,3,784029,40,0.29,13,0.94,38,17245,6,276,126333,6,859805,40,21,0.58,40,1.00
C82628,3130,28139,9,664,65005,1,85870,30,0.22,6,0.81,24,28139,9,301,41392,3,124572,30,17,0.57,30,0.99
C82631,5746,23500,8,2147,16539,1,21645,69,0.03,2,0.10,6,23500,8,381,33485,3,86954,69,33,0.51,61,0.92
C82634,2866,24203,8,1388,170853,1,217630,36,0.07,2,0.24,8,24203,8,346,48054,3,175258,36,21,0.57,34,0.94
C82639,5772,12593,4,442,176125,4,501770,31,0.37,12,0.92,29,12593,4,373,121675,5,520528,31,14,0.44,30,0.96
C82642,7155,10438,4,425,98720,4,313533,29,0.42,12,0.95,27,10438,4,279,82969,6,374538,29,17,0.60,29,1.00
C82643,10379,8185,3,307,113659,5,292597,26,0.57,14,0.99,26,8185,3,279,108331,5,314368,26,15,0.61,26,1.00
C82644,3312,22169,7,756,10932,2,14749,38,0.19,7,0.78,28,22169,7,356,24671,3,66788,38,19,0.51,36,0.96
C82649,3421,23011,7,3126,1944947,1,2039585,47,0.04,2,0.11,6,23011,7,905,91669,1,210141,47,17,0.37,32,0.69
C82650,4034,24184,8,1298,115620,1,118274,38,0.03,1,0.50,18,24184,8,392,42369,3,93568,38,21,0.52,35,0.94
C82651,3694,11233,4,543,76542,2,312675,26,0.21,7,0.93,25,11233,4,271,65584,6,425147,26,15,0.58,26,1.00
C82653,1503,7773,3,335,212749,5,622941,32,0.52,17,0.96,31,7773,3,264,120111,7,675251,32,20,0.62,32,1.00
C82655,2258,18016,6,834,149804,2,255600,65,0.22,17,0.69,49,18016,6,325,71198,4,318068,65,36,0.55,63,0.96
C82656,2164,19941,7,817,48648,1,52764,38,0.19,8,0.69,25,19941,7,385,27779,3,82149,38,20,0.52,35,0.94
C82657,1420,24268,8,1945,135463,1,190656,60,0.08,4,0.26,13,24268,8,378,71113,3,214456,60,32,0.52,56,0.94
C82659,2857,9071,3,339,109558,4,315574,28,0.54,14,0.97,27,9071,3,286,97352,6,347866,28,16,0.60,28,1.00
C82660,5822,13510,5,419,128990,4,341792,36,0.36,15,0.95,35,13510,5,347,105144,5,376951,36,17,0.44,36,1.00
C82662,3512,12613,4,363,94145,5,406134,49,0.53,27,0.96,47,12613,4,259,67759,7,450550,49,32,0.65,49,0.99
C82663,2667,23573,8,1202,30363,1,51319,67,0.16,10,0.44,31,23573,8,402,22773,3,78317,67,31,0.53,58,0.91
C82667,6840,8708,3,334,50950,4,180827,33,0.53,16,0.98,32,8708,3,250,51450,6,253371,33,21,0.69,33,1.00
C82669,3471,11060,4,621,133559,2,320094,31,0.26,8,0.77,24,11060,4,269,96505,6,516319,31,18,0.58,30,1.00
C82670,975,6956,3,341,95930,5,375403,64,0.60,48,0.96,63,6956,3,270,68309,6,400421,64,50,0.65,64,1.00
C82671,4025,9507,3,444,48953,3,318521,28,0.36,11,0.96,27,9507,3,239,50225,6,403500,28,19,0.69,28,1.00
C82676,4819,12010,4,459,69099,3,173134,34,0.36,11,0.95,32,12010,4,256,68059,5,277555,34,22,0.68,33,1.00
C82678,6546,16141,5,460,300334,3,829387,37,0.38,13,0.92,34,16141,5,264,197512,6,906998,37,22,0.63,37,1.00
C82680,2542,11397,4,374,114974,3,670217,30,0.48,12,0.97,29,11397,4,232,96537,7,797710,30,19,0.71,30,1.00
C83001,9014,10656,4,685,87466,2,170412,53,0.16,7,0.82,43,10656,4,558,76886,2,183021,53,10,0.22,47,0.90
C83002,8034,27367,9,2601,42651,1,42921,47,0.02,1,0.03,2,27367,9,736,30876,1,42099,47,12,0.25,32,0.67
C83003,16106,19610,7,1454,20254,1,20927,48,0.13,7,0.45,24,19610,7,530,26297,2,63442,48,19,0.35,42,0.86
C83004,11616,14525,5,1336,142687,1,165665,50,0.07,2,0.30,12,14525,5,506,41044,3,136128,50,17,0.37,47,0.90
C83005,7458,9315,3,3720,387007,0.89,387007,36,0.00,0.14,0.01,0.54,9315,3,3472,242190,0.89,242286,36,0.61,0.01,1,0.03
C83006,3822,12345,4,1984,9518,1,9553,58,0.04,2,0.27,14,12345,4,758,14937,2,27832,58,13,0.25,50,0.87
C83007,13961,24021,8,1678,1007511,2,1130239,42,0.16,10,0.40,19,24021,8,535,66097,2,208997,42,18,0.35,38,0.89
C83008,6199,15760,5,1338,16884,2,30906,37,0.07,4,0.27,12,15760,5,731,23336,2,49137,37,8,0.18,27,0.61
C83009,8394,10266,4,635,63317,2,155592,42,0.29,14,0.86,36,10266,4,283,64291,5,255162,42,27,0.66,41,0.98
C83010,13740,13986,5,1244,152099,1,181234,47,0.08,3,0.35,13,13986,5,482,43382,3,156105,47,19,0.43,43,0.89
C83011,9054,21646,7,1124,9646,1,11323,49,0.19,10,0.61,30,21646,7,533,15861,3,52788,49,23,0.46,41,0.85
C83013,7825,21357,7,1575,4140,1,4603,45,0.12,6,0.59,27,21357,7,630,19702,2,49730,45,17,0.36,37,0.80
C83014,9402,12259,4,399,190164,2,355661,36,0.42,14,0.95,34,12259,4,342,142793,4,393027,36,17,0.52,35,0.96
C83015,8401,14083,5,3025,27484,1,28123,43,0.13,6,0.29,13,14083,5,677,20828,1,27295,43,18,0.39,33,0.75
C83016,2469,11025,4,631,123023,2,191330,42,0.25,10,0.83,35,11025,4,449,99077,3,194348,42,12,0.30,39,0.94
C83017,13372,24039,8,1544,865308,2,1026393,46,0.20,14,0.45,24,24039,8,511,88844,2,276371,46,21,0.37,42,0.90
C83018,9815,7656,3,1215,11594,2,27053,52,0.16,7,0.57,27,7656,3,632,15029,3,55181,52,18,0.37,38,0.71
C83019,22755,4160,2,3815,69924,1,71596,54,0.04,2,0.20,9,4160,2,737,20117,2,43644,54,17,0.31,44,0.81
C83020,8703,22683,7,3066,36550,1,47143,53,0.09,6,0.28,18,22683,7,912,23369,1,41681,53,21,0.37,40,0.74
C83021,2167,4131,2,6953,260644,1,261075,34,0.01,0.43,0.03,2,4131,2,3785,33316,1,38525,34,3,0.06,8,0.18
C83022,19763,19899,7,1677,20333,1,21020,47,0.09,5,0.36,19,19899,7,574,23878,2,55359,47,16,0.32,40,0.83
C83023,18445,21553,7,1185,13881,1,16942,52,0.18,11,0.57,31,21553,7,457,19067,4,75010,52,28,0.51,46,0.89
C83024,3709,19790,7,4295,1337794,1,1342197,35,0.03,1,0.06,3,19790,7,531,25381,1,35160,35,15,0.45,29,0.85
C83025,8828,23865,8,1612,47000,1,55995,39,0.06,2,0.35,14,23865,8,666,55040,2,93828,39,12,0.26,29,0.75
C83026,23092,25896,8,1505,42750,1,47217,35,0.17,5,0.50,17,25896,8,563,19896,2,44471,35,15,0.45,29,0.84
C83027,8972,15380,5,1180,35542,1,42568,51,0.24,15,0.66,37,15380,5,834,35908,1,43823,51,17,0.27,41,0.74
C83028,7851,14104,5,1845,4592,1,4615,39,0.06,2,0.34,14,14104,5,624,19295,2,35314,39,15,0.41,31,0.77
C83029,5924,23519,8,1468,81425,1,138170,46,0.31,13,0.50,20,23519,8,454,70953,3,173668,46,26,0.60,39,0.87
C83030,4690,11201,4,2957,3663,1,3671,49,0.01,0.34,0.06,2,11201,4,832,27849,1,29541,49,13,0.27,40,0.79
C83031,11329,25229,8,2185,353118,1,356058,43,0.07,2,0.16,6,25229,8,522,104804,2,137871,43,21,0.50,35,0.83
C83032,7485,8411,3,3890,52852,1.00,52852,44,0.00,0.16,0.01,0.59,8411,3,1618,37053,1,44009,44,17,0.31,32,0.62
C83033,3266,16457,6,2206,410076,1,410282,79,0.12,15,0.31,37,16457,6,877,39629,1,81311,79,19,0.20,58,0.78
C83035,12121,25230,8,1515,75023,1,101647,43,0.24,12,0.56,26,25230,8,502,44999,2,100490,43,19,0.41,39,0.87
C83036,6322,16800,6,2510,30122,1,30122,41,0.07,3,0.24,10,16800,6,722,18496,1,21571,41,12,0.27,30,0.72
C83037,9356,24295,8,3000,386782,1,387074,51,0.03,2,0.06,5,24295,8,847,45930,2,71791,51,17,0.33,39,0.74
C83038,8127,21805,7,4073,227406,0.94,227899,42,0.00,0.08,0.01,0.66,21805,7,587,31090,1,38038,42,14,0.32,33,0.76
C83039,5573,16496,5,3807,9034,1,9085,37,0.01,0.62,0.05,2,16496,5,832,21959,1,26988,37,11,0.28,25,0.64
C83040,15961,17560,6,970,34408,2,68112,42,0.20,11,0.55,25,17560,6,484,24577,4,85525,42,18,0.39,37,0.85
C83041,7530,16092,5,974,414644,1,427138,36,0.12,4,0.55,19,16092,5,744,365665,2,420716,36,7,0.18,23,0.64
C83042,5929,11700,4,6555,24426,1,24428,62,0.00,0.29,0.04,2,11700,4,885,27719,1,30817,62,14,0.24,45,0.71
C83043,10008,16403,6,1751,45243,1,45297,58,0.15,9,0.45,25,16403,6,796,24134,2,51877,58,22,0.41,44,0.76
C83044,10475,6666,3,1242,10633,2,24107,54,0.14,6,0.52,26,6666,3,677,14741,3,50784,54,18,0.34,39,0.67
C83045,13412,5426,2,2387,110467,1,112735,45,0.05,3,0.26,13,5426,2,968,25299,2,58526,45,15,0.31,38,0.78
C83046,6214,22678,8,1697,150177,1,175691,45,0.07,3,0.28,13,22678,8,450,51997,2,95687,45,11,0.28,43,0.95
C83047,10147,12917,4,1237,143743,1,181468,48,0.08,3,0.37,14,12917,4,467,42264,3,173193,48,19,0.43,45,0.92
C83048,14750,17616,6,983,32267,2,65385,43,0.22,12,0.57,26,17616,6,473,23603,4,82574,43,19,0.40,39,0.87
C83049,6770,10268,4,3386,14640,1,14645,48,0.03,1,0.13,7,10268,4,738,22905,1,25822,48,11,0.29,32,0.69
C83051,5249,8974,3,702,38033,2,109170,53,0.21,13,0.73,40,8974,3,331,38188,3,156040,53,25,0.53,51,0.97
C83052,3412,17490,6,2323,69112,1,74807,53,0.24,13,0.48,27,17490,6,1110,22515,2,35295,53,18,0.39,34,0.63
C83053,2447,17889,6,2834,88930,1,89274,38,0.00,0.06,0.00,0.16,17889,6,347,17751,1,20867,38,25,0.67,35,0.94
C83054,10824,24748,8,1827,79990,1,99667,40,0.17,8,0.47,21,24748,8,559,38946,2,90510,40,16,0.37,35,0.83
C83055,4947,10535,4,2850,78599,1,78669,48,0.02,1,0.14,8,10535,4,1785,52724,1,56586,48,8,0.17,19,0.37
C83056,10589,13043,4,1960,7180,1,7200,55,0.03,2,0.26,13,13043,4,783,13407,2,25532,55,13,0.27,47,0.86
C83057,5497,14568,5,2504,133931,1,137370,53,0.02,1,0.11,5,14568,5,717,26157,2,49100,53,13,0.23,44,0.82
C83058,6859,27658,9,1957,42750,1,64392,50,0.13,5,0.21,9,27658,9,508,52525,2,99911,50,18,0.39,39,0.84
C83059,11551,13604,5,1258,143371,1,172379,48,0.08,3,0.35,13,13604,5,465,41162,3,150740,48,20,0.44,45,0.91
C83060,8346,14335,5,1349,138593,1,166463,46,0.07,2,0.32,12,14335,5,492,41780,3,145321,46,19,0.42,43,0.89
C83061,9559,21334,7,2987,77391,1,77651,43,0.08,4,0.15,7,21334,7,735,28597,2,46736,43,15,0.36,34,0.80
C83062,3834,21204,7,4668,5049,1,6926,46,0.01,0.46,0.03,1,21204,7,730,28521,1,39272,46,18,0.38,37,0.80
C83063,15504,11719,4,2119,6694,1,7528,41,0.08,4,0.32,14,11719,4,689,17008,2,38762,41,14,0.36,30,0.77
C83064,13769,3560,2,2117,47382,1,47411,67,0.09,7,0.34,23,3560,2,685,28361,1,37582,67,20,0.29,53,0.78
C83065,6699,13930,5,1826,4553,1,4952,40,0.07,3,0.37,16,13930,5,627,19241,2,35959,40,16,0.41,32,0.78
C83067,5858,25290,8,2520,11036,1,11082,58,0.00,0.03,0.08,6,25290,8,1110,20978,1,23200,58,12,0.20,37,0.61
C83068,3903,23952,8,1494,622842,2,813414,47,0.22,16,0.46,26,23952,8,486,83639,2,296472,47,23,0.39,44,0.91
C83071,7277,18338,6,743,110336,2,191366,34,0.17,6,0.76,26,18338,6,467,75804,3,222406,34,12,0.34,31,0.90
C83072,10019,13108,5,572,65127,3,214373,46,0.35,18,0.88,41,13108,5,273,67684,5,305572,46,30,0.66,45,0.99
C83073,5477,15012,5,538,144768,4,476585,52,0.53,28,0.89,47,15012,5,302,120334,6,510204,52,34,0.66,51,0.97
C83074,3755,17121,6,4282,18075,1,18700,62,0.03,1,0.12,5,17121,6,967,23888,1,26694,62,13,0.22,37,0.60
C83075,6980,19694,7,873,35086,3,76473,46,0.23,14,0.61,29,19694,7,456,25997,4,94562,46,21,0.40,42,0.88
C83078,7188,19688,6,1491,66066,1,75813,27,0.03,1,0.12,4,19688,6,657,35366,2,78990,27,7,0.23,20,0.68
C83079,3721,16379,6,819,65372,1,93048,42,0.22,10,0.78,31,16379,6,370,61823,3,155884,42,21,0.51,40,0.96
C83080,5339,18727,6,1003,72865,2,98279,35,0.13,6,0.51,19,18727,6,352,26595,4,100621,35,18,0.49,34,0.96
C83081,3266,7777,3,691,28825,2,80661,53,0.19,13,0.72,41,7777,3,326,33119,3,130381,53,25,0.52,51,0.98
C83082,9648,14924,5,920,434129,1,443843,36,0.11,4,0.53,18,14924,5,797,396668,2,446752,36,6,0.15,21,0.58
C83083,7842,16684,6,1200,17916,1,19069,32,0.18,5,0.52,16,16684,6,529,27623,2,86023,32,15,0.45,28,0.90
C83085,8457,12228,4,1925,6544,1,6555,55,0.04,2,0.27,14,12228,4,728,12169,2,24268,55,13,0.26,47,0.88
C83605,2611,12558,4,2550,174168,1,176284,47,0.09,5,0.29,15,12558,4,1666,168271,1,172012,47,10,0.18,27,0.50
C83611,5822,24894,8,3739,57466,1,57568,42,0.03,1,0.04,2,24894,8,1222,24148,1,24972,42,11,0.25,20,0.49
C83613,5544,16990,6,4225,84878,1,84915,56,0.06,5,0.10,7,16990,6,960,35421,1,40299,56,17,0.32,40,0.74
C83614,3727,11077,4,2265,46610,1,48888,49,0.11,6,0.32,15,11077,4,538,16664,2,30774,49,21,0.44,42,0.84
C83615,2219,13854,5,476,121347,4,411864,50,0.51,27,0.91,46,13854,5,291,100664,6,463083,50,33,0.67,49,0.97
C83617,7210,17373,6,5735,27733,1,28164,55,0.02,0.67,0.07,3,17373,6,835,73577,1,76894,55,18,0.34,38,0.71
C83626,5784,14486,5,713,150649,3,346516,53,0.31,17,0.81,44,14486,5,419,127845,4,360869,53,22,0.44,49,0.93
C83628,1268,18814,6,3849,19431,1,27459,55,0.03,2,0.15,6,18814,6,713,23935,2,43624,55,19,0.33,40,0.73
C83631,3602,21153,7,1643,21035,1,21308,46,0.06,4,0.25,14,21153,7,552,25969,2,63944,46,16,0.33,39,0.84
C83633,4086,23388,7,5073,74438,1,74528,44,0.00,0.29,0.01,1,23388,7,734,32351,1,50264,44,9,0.20,36,0.79
C83634,3593,20663,7,1289,7316,1,7819,39,0.14,6,0.57,23,20663,7,714,16711,3,54320,39,12,0.29,32,0.77
C83635,6004,16448,6,4123,11658,1,12455,41,0.05,2,0.22,9,16448,6,1077,18880,2,31966,41,14,0.27,32,0.64
C83637,7173,23996,8,1497,28750,1,37380,38,0.06,2,0.39,15,23996,8,650,46126,2,83609,38,11,0.24,29,0.74
C83641,4105,18762,6,4120,121499,0.99,125013,43,0.01,0.42,0.09,4,18762,6,686,28193,1,39893,43,12,0.27,33,0.73
C83643,2425,10919,4,6510,12058,1,12077,66,0.04,3,0.08,6,10919,4,4257,18303,1,20454,66,6,0.09,10,0.16
C83644,3506,7118,3,1271,12004,2,27019,52,0.15,7,0.54,26,7118,3,674,15733,3,56793,52,18,0.36,37,0.68
C83649,4174,18547,6,4146,179524,1,182945,41,0.02,1,0.05,2,18547,6,675,20296,1,26890,41,13,0.33,31,0.76
C83650,3607,11501,4,4296,131183,1,131217,88,0.00,0.18,0.04,3,11501,4,1141,47992,1,48748,88,11,0.13,50,0.52
C83652,2099,13101,4,649,136341,3,332875,54,0.30,17,0.82,45,13101,4,421,120396,4,353361,54,22,0.43,50,0.93
C83653,1767,18228,6,5021,60628,1,62137,40,0.01,0.38,0.03,1,18228,6,758,24282,1,33209,40,13,0.30,29,0.71
C83655,1823,21736,7,4659,3909,1,5093,48,0.00,0.18,0.01,0.37,21736,7,731,27838,1,38033,48,19,0.37,39,0.81
C83656,7702,14003,5,577,102431,3,356058,71,0.19,14,0.88,62,14003,5,551,101484,3,358927,71,14,0.20,63,0.90
C84001,27616,15042,5,1745,138797,1,175452,43,0.08,4,0.28,13,15042,5,410,42319,3,162073,43,21,0.48,39,0.92
C84002,11478,16384,5,700,61923,2,89707,34,0.26,9,0.72,25,16384,5,340,36688,4,142377,34,19,0.56,32,0.96
C84003,5337,21863,7,837,138227,1,268933,37,0.11,4,0.54,22,21863,7,320,42208,3,319086,37,16,0.49,37,1.00
C84004,7557,4992,2,470,315595,3,844359,30,0.31,10,0.94,28,4992,2,252,125125,7,969512,30,20,0.65,30,1.00
C84005,12870,27706,9,3354,296702,1,297591,38,0.05,3,0.13,6,27706,9,592,34243,2,122157,38,13,0.31,32,0.80
C84008,4967,16501,5,8641,207957,1,207957,45,0.00,0.00,0.00,0.01,16501,5,1027,12068,1,13030,45,7,0.17,25,0.62
C84009,13449,15965,5,1237,47898,2,84067,43,0.22,11,0.57,26,15965,5,498,41346,4,111243,43,18,0.41,38,0.91
C84010,11711,14597,5,812,853464,1,1076358,33,0.13,4,0.57,18,14597,5,319,122799,5,922612,33,17,0.50,33,1.00
